Question Number,Question
1,什么是电磁场？
2,电场的定义是什么？
3,磁场的定义是什么？
4,电场强度如何定义？
5,磁感应强度如何定义？
6,库仑定律的内容是什么？
7,高斯定理在电场中的应用是什么？
8,环路定理在电场中的应用是什么？
9,安培环路定律的内容是什么？
10,毕奥-萨伐尔定律的内容是什么？
11,磁通量的定义是什么？
12,法拉第电磁感应定律的内容是什么？
13,楞次定律的内容是什么？
14,什么是自感现象？
15,什么是互感现象？
16,什么是位移电流？
17,麦克斯韦方程组的积分形式是什么？
18,麦克斯韦方程组的微分形式是什么？
19,电磁波是如何产生的？
20,电磁波的传播速度是多少？
21,电磁波的波长、频率和速度之间的关系是什么？
22,什么是电磁波的极化？
23,电磁波的能量密度如何计算？
24,电磁波的动量密度如何计算？
25,坡印廷矢量的定义是什么？
26,坡印廷定理的内容是什么？
27,什么是电磁波的辐射？
28,什么是电磁波的散射？
29,什么是电磁波的衍射？
30,什么是电磁波的干涉？
31,什么是电磁波的折射？
32,什么是电磁波的反射？
33,什么是电磁波的透射？
34,什么是电磁波的吸收？
35,什么是电磁频谱？
36,无线电波的特点是什么？
37,微波的特点是什么？
38,红外线的特点是什么？
39,可见光的特点是什么？
40,紫外线的特点是什么？
41,X射线的特点是什么？
42,γ射线的特点是什么？
43,什么是静电场？
44,什么是恒定电场？
45,什么是时变电场？
46,什么是静磁场？
47,什么是恒定磁场？
48,什么是时变磁场？
49,什么是电偶极子？
50,什么是磁偶极子？
51,什么是电容？
52,什么是电感？
53,什么是电阻？
54,什么是阻抗？
55,什么是导纳？
56,什么是电导率？
57,什么是磁导率？
58,什么是介电常数？
59,什么是损耗角正切？
60,什么是边界条件？
61,电场边界条件的公式是什么？
62,磁场边界条件的公式是什么？
63,什么是导体？
64,什么是绝缘体？
65,什么是半导体？
66,什么是超导体？
67,什么是电介质？
68,什么是磁介质？
69,什么是极化强度？
70,什么是磁化强度？
71,什么是电位？
72,什么是磁矢位？
73,什么是磁标位？
74,什么是电场的能量？
75,什么是磁场的能量？
76,什么是电磁场的能量？
77,什么是洛伦兹力？
78,什么是安培力？
79,什么是电磁感应电动势？
80,什么是动生电动势？
81,什么是感生电动势？
82,什么是涡流？
83,什么是趋肤效应？
84,什么是等离子体？
85,什么是电磁屏蔽？
86,什么是电磁兼容？
87,什么是天线？
88,什么是波导？
89,什么是谐振腔？
90,什么是传输线？
91,什么是微带线？
92,什么是同轴电缆？
93,什么是光纤？
94,什么是反射系数？
95,什么是透射系数？
96,什么是驻波比？
97,什么是阻抗匹配？
98,什么是史密斯圆图？
99,什么是散射参数？
100,什么是有限元法？
101,什么是时域有限差分法？
102,什么是矩量法？
103,电磁场数值计算有哪些常用方法？
104,什么是电磁波的传播常数？
105,什么是电磁波的衰减常数？
106,什么是电磁波的相位常数？
107,什么是电磁波的群速度？
108,什么是电磁波的相速度？
109,什么是截止频率？
110,什么是截止波长？
111,什么是特性阻抗？
112,什么是导波波长？
113,什么是TE波？
114,什么是TM波？
115,什么是TEM波？
116,矩形波导的主模是什么？
117,圆波导的主模是什么？
118,什么是波导的模式？
119,什么是谐振腔的谐振频率？
120,什么是谐振腔的品质因数？
121,天线的方向性如何定义？
122,天线的增益如何定义？
123,天线的有效面积如何定义？
124,什么是天线的极化方向？
125,什么是半波振子天线？
126,什么是偶极子天线？
127,什么是单极子天线？
128,什么是环形天线？
129,什么是螺旋天线？
130,什么是微带天线？
131,什么是喇叭天线？
132,什么是反射面天线？
133,什么是阵列天线？
134,什么是雷达？
135,什么是雷达方程？
136,什么是雷达截面积？
137,什么是多普勒效应？
138,什么是电磁波在不同介质中的传播特性？
139,什么是色散？
140,什么是群速色散？
141,什么是极化模色散？
142,什么是电磁波的传播损耗？
143,什么是自由空间损耗？
144,什么是大气损耗？
145,什么是雨衰？
146,什么是电磁波的绕射损耗？
147,什么是电磁波的多径效应？
148,什么是电磁波的衰落？
149,什么是电磁波的阴影效应？
150,什么是电磁兼容性测试？
151,什么是传导发射？
152,什么是辐射发射？
153,什么是传导抗扰度？
154,什么是辐射抗扰度？
155,什么是静电放电？
156,什么是电磁脉冲？
157,什么是电磁场的生物效应？
158,什么是电磁场的安全标准？
159,什么是电磁场测量？
160,如何测量电场强度？
161,如何测量磁感应强度？
162,如何测量电磁波的功率密度？
163,什么是近场？
164,什么是远场？
165,什么是菲涅尔区？
166,什么是夫琅禾费区？
167,什么是惠更斯原理？
168,什么是电磁场的唯一性定理？
169,什么是镜像法？
170,什么是保角变换法？
171,什么是分离变量法？
172,什么是格林函数法？
173,什么是电磁场中的边界值问题？
174,什么是电磁场中的本征值问题？
175,什么是电磁场的散射问题？
176,什么是电磁场的辐射问题？
177,什么是电磁场中的逆问题？
178,什么是电磁场的优化问题？
179,什么是超材料？
180,什么是隐身技术？
181,什么是左手材料？
182,什么是电磁超表面？
183,什么是光子晶体？
184,什么是表面等离子体激元？
185,电磁场与电磁波课程有哪些应用？
186,电磁场与电磁波课程与其他课程的关系是什么？
187,学习电磁场与电磁波课程需要哪些数学基础？
188,学习电磁场与电磁波课程需要哪些物理基础？
189,如何学好电磁场与电磁波课程？
190,电磁场与电磁波课程有哪些经典教材？
191,电磁场与电磁波课程有哪些前沿研究方向？
192,什么是电磁场的标量位和矢量位？
193,什么是规范变换？
194,什么是推迟势？
195,什么是里纳德-维谢尔势？
196,什么是半无限长直导线的磁场？
197,什么是无限长直螺线管的磁场？
198,什么是圆形载流线圈的磁场？
199,什么是亥姆霍兹线圈？
200,平行板电容器的电容如何计算？
201,球形电容器的电容如何计算？
202,同轴电缆的电容如何计算？
203,长直导线的自感如何计算？
204,螺线管的自感如何计算？
205,环形线圈的自感如何计算？
206,什么是磁阻？
207,什么是磁路？
208,磁路欧姆定律的内容是什么？
209,什么是磁路的基尔霍夫定律？
210,什么是磁滞回线？
211,什么是永磁体？
212,什么是软磁材料？
213,什么是硬磁材料？
214,什么是变压器？
215,什么是发电机？
216,什么是电动机？
217,什么是电磁继电器？
218,什么是电磁铁？
219,什么是磁悬浮？
220,什么是电磁制动？
221,什么是电磁加热？
222,什么是电磁波导模？
223,什么是同轴线中的TEM模？
224,什么是微带线中的准TEM模？
225,什么是波导的截止波长？
226,如何计算矩形波导的截止波长？
227,如何计算圆波导的截止波长？
228,什么是波导的阻抗？
229,什么是波导的功率容量？
230,什么是波导的损耗？
231,什么是波导的色散？
232,什么是波导的耦合？
233,什么是波导的连接？
234,什么是波导的终端？
235,什么是波导滤波器？
236,什么是波导谐振器？
237,什么是微波网络？
238,什么是微波器件？
239,什么是微波电路？
240,什么是微波系统？
241,什么是微波测量技术？
242,什么是网络分析仪？
243,什么是频谱分析仪？
244,什么是功率计？
245,什么是噪声系数？
246,什么是微波放大器？
247,什么是微波振荡器？
248,什么是微波混频器？
249,什么是微波检波器？
250,什么是微波开关？
251,什么是微波衰减器？
252,什么是微波移相器？
253,什么是微波隔离器？
254,什么是微波环形器？
255,什么是微波滤波器？
256,什么是微波天线？
257,什么是微波雷达？
258,什么是微波通信？
259,什么是微波遥感？
260,什么是微波加热？
261,什么是太赫兹技术？
262,电磁波的量子特性是什么？
263,什么是光子？
264,什么是光子的能量？
265,什么是光子的动量？
266,什么是光的波粒二象性？
267,什么是黑体辐射？
268,什么是普朗克公式？
269,什么是光电效应？
270,什么是康普顿效应？
271,什么是激光？
272,什么是激光的特性？
273,什么是激光的产生原理？
274,什么是激光器的主要类型？
275,激光有哪些应用？
276,什么是光纤通信？
277,光纤通信的优点是什么？
278,光纤通信的原理是什么？
279,什么是单模光纤？
280,什么是多模光纤？
281,什么是光纤的数值孔径？
282,什么是光纤的损耗？
283,什么是光纤的色散？
284,什么是光纤连接器？
285,什么是光纤耦合器？
286,什么是光纤放大器？
287,什么是光纤传感器？
288,什么是光纤激光器？
289,什么是全息术？
290,什么是电磁场有限元分析？
291,什么是电磁场时域有限差分分析？
292,什么是电磁场矩量法分析？
293,什么是电磁场边界元法分析？
294,什么是电磁场有限体积法分析？
295,什么是电磁场伪谱法分析？
296,什么是电磁场多层快速多极子法分析？
297,电磁场数值计算中的边界条件如何处理？
298,电磁场数值计算中的激励源如何处理？
299,电磁场数值计算中的非线性问题如何处理？
300,电磁场数值计算中的开放边界问题如何处理？
301,什么是完美电导体（PEC）？
302,什么是完美磁导体（PMC）？
303,什么是表面阻抗边界条件（SIBC）？
304,什么是吸收边界条件（ABC）？
305,什么是完美匹配层（PML）？
306,什么是周期性边界条件？
307,什么是对称边界条件？
308,什么是反对称边界条件？
309,什么是辐射边界条件？
310,什么是散射边界条件？
311,什么是电磁场问题的适定性？
312,什么是电磁场问题的唯一性？
313,什么是电磁场问题的存在性？
314,什么是电磁场问题的稳定性？
315,什么是电磁场问题的收敛性？
316,什么是电磁场问题的精度？
317,什么是电磁场问题的计算效率？
318,什么是电磁场问题的并行计算？
319,什么是电磁场问题的网格生成？
320,什么是电磁场问题的后处理？
321,什么是电磁兼容设计？
322,什么是电磁屏蔽设计？
323,什么是电磁滤波设计？
324,什么是接地设计？
325,什么是布线设计？
326,什么是电磁兼容预测？
327,什么是电磁兼容诊断？
328,什么是电磁兼容标准？
329,什么是国际电工委员会（IEC）？
330,什么是国际无线电干扰特别委员会（CISPR）？
331,什么是美国联邦通信委员会（FCC）？
332,什么是欧洲标准（EN）？
333,什么是中国国家标准（GB）？
334,什么是军用标准（MIL-STD）？
335,什么是汽车电磁兼容标准？
336,什么是医疗设备电磁兼容标准？
337,什么是信息技术设备电磁兼容标准？
338,什么是家用电器电磁兼容标准？
339,什么是工业设备电磁兼容标准？
340,什么是电磁兼容实验室？
341,什么是开阔场？
342,什么是半电波暗室？
343,什么是全电波暗室？
344,什么是横电磁波室（TEM Cell）？
345,什么是吉赫兹横电磁波室（GTEM Cell）？
346,什么是混响室？
347,什么是电流探头？
348,什么是电压探头？
349,什么是场强探头？
350,什么是近场探头？
351,什么是电磁兼容分析软件？
352,什么是CST Microwave Studio？
353,什么是HFSS？
354,什么是FEKO？
355,什么是XFdtd？
356,什么是IE3D？
357,什么是ADS？
358,什么是电磁兼容问题的故障排除？
359,什么是时域反射计（TDR）？
360,什么是频域反射计（FDR）？
361,什么是电磁场的健康影响？
362,什么是电磁场的非热效应？
363,什么是电磁场的致癌性？
364,什么是国际癌症研究机构（IARC）？
365,什么是国际非电离辐射防护委员会（ICNIRP）？
366,什么是电气与电子工程师协会（IEEE）？
367,什么是微波炉的原理？
368,什么是手机的通信原理？
369,什么是无线局域网（WLAN）？
370,什么是蓝牙技术？
371,什么是射频识别（RFID）？
372,什么是卫星通信？
373,什么是全球定位系统（GPS）？
374,什么是北斗卫星导航系统？
375,什么是医学成像中的电磁场应用？
376,什么是磁共振成像（MRI）？
377,什么是X射线成像？
378,什么是计算机断层扫描（CT）？
379,什么是正电子发射断层扫描（PET）？
380,什么是单光子发射计算机断层扫描（SPECT）？
381,什么是脑磁图（MEG）？
382,什么是经颅磁刺激（TMS）？
383,什么是射频消融？
384,什么是微波消融？
385,什么是电磁导航？
386,什么是无线充电？
387,什么是电磁感应加热？
388,什么是微波化学？
389,什么是电磁无损检测？
390,什么是涡流检测？
391,什么是漏磁检测？
392,什么是磁粉检测？
393,什么是超声检测？
394,什么是射线检测？
395,什么是电磁超材料的应用？
396,什么是电磁隐身的应用？
397,什么是电磁超表面的应用？
398,什么是光子晶体的应用？
399,什么是表面等离子体激元的应用？
400,什么是电磁场与电磁波课程的实验？
401,什么是电场的描绘实验？
402,什么是磁场的描绘实验？
403,什么是电磁感应实验？
404,什么是示波器的使用实验？
405,什么是信号发生器的使用实验？
406,什么是频谱分析仪的使用实验？
407,什么是网络分析仪的使用实验？
408,什么是传输线实验？
409,什么是天线实验？
410,什么是波导实验？
411,什么是谐振腔实验？
412,什么是微波器件实验？
413,什么是电磁兼容实验？
414,什么是亥姆霍兹线圈实验？
415,什么是电磁屏蔽效能测试实验？
416,什么是电磁辐射的测量实验？
417,什么是天线方向图的测量实验？
418,什么是波导模式的观察实验？
419,什么是谐振腔谐振频率的测量实验？
420,什么是微带线特性阻抗的测量实验？
421,什么是电磁场数值计算的软件有哪些？
422,如何使用CST Microwave Studio进行电磁场仿真？
423,如何使用HFSS进行电磁场仿真？
424,如何使用FEKO进行电磁场仿真？
425,如何使用XFdtd进行电磁场仿真？
426,如何使用IE3D进行电磁场仿真？
427,如何使用ADS进行电磁场仿真？
428,如何编写电磁场数值计算程序？
429,如何使用MATLAB进行电磁场计算？
430,如何使用Python进行电磁场计算？
431,如何使用C++进行电磁场计算？
432,如何使用Fortran进行电磁场计算？
433,如何验证电磁场数值计算结果的正确性？
434,如何提高电磁场数值计算的精度？
435,如何提高电磁场数值计算的效率？
436,什么是电磁场与电磁波课程的课程设计？
437,如何设计一个简单的天线？
438,如何设计一个简单的滤波器？
439,如何设计一个简单的波导器件？
440,如何设计一个简单的谐振腔？
441,如何设计一个简单的电磁屏蔽结构？
442,如何进行电磁兼容设计？
443,如何分析一个电磁兼容问题？
444,如何解决一个电磁兼容问题？
445,什么是天线阵列的设计？
446,什么是微波电路的设计？
447,什么是射频电路的设计？
448,什么是电磁场的近场和远场如何划分？
449,如何计算电偶极子的辐射场？
450,如何计算磁偶极子的辐射场？
451,什么是平面电磁波？
452,什么是球面电磁波？
453,什么是柱面电磁波？
454,什么是电磁波的极化状态？
455,什么是线极化？
456,什么是圆极化？
457,什么是椭圆极化？
458,什么是部分极化？
459,什么是斯托克斯参量？
460,什么是琼斯矢量？
461,什么是邦加球？
462,什么是电磁波的干涉和衍射的区别？
463,什么是单缝衍射？
464,什么是双缝干涉？
465,什么是多缝衍射？
466,什么是光栅衍射？
467,什么是圆孔衍射？
468,什么是菲涅尔衍射？
469,什么是夫琅禾费衍射？
470,什么是布拉格衍射？
471,什么是电磁波的反射定律？
472,什么是电磁波的折射定律？
473,什么是斯涅耳定律？
474,什么是全反射？
475,什么是布儒斯特角？
476,什么是菲涅尔公式？
477,什么是电磁波在分层介质中的传播？
478,什么是特征线法？
479,什么是传输矩阵法？
480,什么是散射矩阵法？
481,什么是电磁波的导行？
482,什么是电磁波的截止？
483,什么是模式的正交性？
484,什么是模式的简并？
485,什么是波导的色散特性？
486,什么是微带线的色散特性？
487,什么是光纤的色散特性？
488,什么是电磁波的散射理论？
489,什么是瑞利散射？
490,什么是米氏散射？
491,什么是拉曼散射？
492,什么是布里渊散射？
493,什么是光学散射？
494,什么是雷达散射？
495,什么是电磁散射的数值方法？
496,什么是逆散射问题？
497,什么是天线阵的互耦？
498,什么是智能天线？
499,什么是认知无线电？
500,什么是软件无线电？
